ID,newlyConst,balcony,totalRent,yearConstructed,noParkSpaces,hasKitchen,livingSpace,lift,typeOfFlat,floor,garden,regio2,condition,lastRefurbish,energyEfficiencyClass
75,FALSE,TRUE,329,1955,NA,FALSE,32.49,FALSE,apartment,2,FALSE,Duisburg,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
76,FALSE,TRUE,1300,1971,1,FALSE,100,FALSE,ground_floor,1,TRUE,Wuppertal,average,Last5Years,D/E/F/G/H
77,FALSE,TRUE,520,1973,NA,FALSE,55,TRUE,apartment,3,FALSE,Krefeld,good,NO_INFORMATION,D/E/F/G/H
78,FALSE,FALSE,NA,1960,1,FALSE,54,FALSE,apartment,1,FALSE,Wesel_Kreis,average,NO_INFORMATION,NO_INFORMATION
79,FALSE,TRUE,1155,1928,NA,FALSE,94.37,FALSE,apartment,2,FALSE,Düsseldorf,good,Last5Years,NO_INFORMATION
80,FALSE,TRUE,604.4,1960,NA,FALSE,68,TRUE,ground_floor,0,FALSE,Gelsenkirchen,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
81,FALSE,TRUE,NA,1953,NA,FALSE,83,FALSE,apartment,4,FALSE,Düsseldorf,good,Over5Years,NO_INFORMATION
82,FALSE,FALSE,710,1965,NA,FALSE,50,FALSE,roof_storey,5,FALSE,Düsseldorf,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
83,FALSE,TRUE,NA,1993,1,FALSE,75,FALSE,apartment,1,FALSE,Minden_Lübbecke_Kreis,average,NO_INFORMATION,D/E/F/G/H
84,FALSE,TRUE,840,1995,1,TRUE,92,FALSE,apartment,1,FALSE,Paderborn_Kreis,average,NO_INFORMATION,NO_INFORMATION
85,FALSE,TRUE,724,1978,NA,FALSE,81,FALSE,apartment,2,FALSE,Dortmund,NO_INFORMATION,NO_INFORMATION,D/E/F/G/H
86,TRUE,FALSE,700,2019,NA,FALSE,78.3,FALSE,apartment,2,FALSE,Gelsenkirchen,good,Last5Years,NO_INFORMATION
87,FALSE,TRUE,678.7,1988,NA,FALSE,65,FALSE,roof_storey,3,FALSE,Solingen,average,NO_INFORMATION,NO_INFORMATION
88,TRUE,TRUE,1169,2019,1,FALSE,95.66,TRUE,apartment,2,FALSE,Paderborn_Kreis,good,Last5Years,NO_INFORMATION
89,FALSE,TRUE,688.09,1974,NA,FALSE,74,FALSE,apartment,2,FALSE,Essen,average,Over5Years,D/E/F/G/H
90,FALSE,FALSE,480,1929,NA,FALSE,57.71,FALSE,apartment,1,FALSE,Essen,NO_INFORMATION,NO_INFORMATION,NO_INFORMATION
91,FALSE,FALSE,470,1993,NA,FALSE,61.35,FALSE,apartment,3,FALSE,Gelsenkirchen,average,NO_INFORMATION,NO_INFORMATION
